# Missing German audio (144 files)

a_lter|älter
ab|ab
abend|Abend
abfahrt|Abfahrt
alles|Alles
alt|alt
an|an
andere|andere
anna|Anna.
aqui|aquí.
arbeit|Arbeit
arzt|Arzt
auch|auch
auf|auf
bahnsteig|Bahnsteig
bei|bei
besonderes|Besonderes
bestens|bestens
bewo_lkt|bewölkt
biegen|biegen
bis|Bis
brauche|brauche
bu_ro|Büro
bushaltestelle|Bushaltestelle
chef|Chef
dank|Dank.
darauf|darauf
das|das
dass|dass
dem|dem
denke|denke,
der|der
die|die
die_straße|die Straße
dir|dir?
ein|ein
einzelfahrkarte|Einzelfahrkarte
er_sie|Er/Sie
es|es
fieber|Fieber
frau|Frau
freut|Freut
fu_r|für
fußball|Fußball
gehalt|Gehalt
geht|geht
geht_s|geht's
gibt|gibt
gibt_s|gibt's?
gute|Gute
guten|Guten
hallo_guten_morgen|Hallo! Guten Morgen.
haus|Haus
heiße|heiße...
heißt|heißt
herr|Herr
hin|Hin-
ho_ren|hören
ich_heiße_anna|Ich heiße... Anna.
ich_heiße_lukas|Ich heiße... Lukas.
ich_komme_aus_aqui|Ich komme aus... aquí.
in|in
inbegriffen|inbegriffen?
ist|Ist
jahre|Jahre
ju_nger|jünger
ka_mmen|kämmen
kein|kein
keine|keine
ko_stlich|köstlich!
kollege|Kollege
kommst|kommst
kommt|kommt
kopf|Kopf
lassen|lassen
laufenden|Laufenden
leid|leid
lukas|Lukas.
mach_s|Mach's
machen|machen
medikament|Medikament
meiner|meiner
meinung|Meinung
mich|mich
mir|mir
mit|mit
mittag|Mittag
mitternacht|Mitternacht
mo_chte|möchte
musik|Musik
na_he|Nähe
nach|nach
nachmittag|Nachmittag
nacht|Nacht.
neblig|neblig
neues|Neues?
nicht|nicht
nichts|Nichts
regnet|regnet
rezept|Rezept
ru_ckfahrkarte|Rückfahrkarte
schmerz|Schmerz
schminken|schminken
schneit|schneit
service|Service
sich|sich
sie|Sie?
so|so
spa_t|spät
spa_ter|später
stimme|stimme
straße|Straße
tag|Tag!
temperatur|Temperatur
tut|tut
u_brig|übrig
uhr|Uhr
um|um
umstieg|Umstieg
unternehmen|Unternehmen
vegetarier|Vegetarier
vergnu_gen|Vergnügen
verlassen|verlassen
verspa_tung|Verspätung
vertrag|Vertrag
vielen|vielen
viertel|Viertel
von|von
vor|vor
wahl|Wahl
war|war
was|Was
weiß|weiß
wiedersehen|Wiedersehen
windig|windig
wo|Wo
woche|Woche
wochenende|Wochenende
wohne|wohne
wu_nschen|wünschen
yoga|Yoga
za_hne|Zähne
zu|zu
zur|zur
